ID,Session
1,10

2,10

3,10

4,10

5,10

6,10

7,10

8,10

9,10

10,10

11,10

12,10

13,10

14,10

15,10

16,10

17,10

18,10

19,10

20,10

21,10

22,10

23,10

24,10

25,10

26,10

27,10

28,10

29,10

30,10

31,10

32,10

33,10

34,10

35,10

36,10

ID,Session
1,11

2,11

3,11

4,11

5,11

6,11

7,11

8,11

9,11

10,11

11,11

12,11

13,11

14,11

15,11

16,11

17,11

18,11

19,11

20,11

21,11

22,11

23,11

24,11

25,11

26,11

27,11

28,11

29,11

30,11

31,11

32,11

33,11

34,11

35,11

36,11

37,11

38,11

39,11

40,11

41,11

42,11

43,11

44,11

45,11

46,11

47,11

48,11

49,11

50,11

51,11

52,11

53,11

54,11

55,11

56,11

57,11

58,11

59,11

60,11

61,11

62,11

63,11

64,11

65,11

66,11

67,11

68,11

69,11

70,11

71,11

72,11

73,11

74,11

75,11

76,11

77,11

78,11

79,11

80,11

81,11

82,11

83,11

84,11

85,11

86,11

87,11

88,11

89,11

90,11

91,11

92,11

93,11

94,11

95,11

96,11

97,11

98,11

99,11

100,11

101,11

102,11

103,11

104,11

105,11

106,11

107,11

108,11

109,11

110,11

111,11

112,11

113,11

114,11

115,11

116,11

117,11

118,11

119,11

120,11

121,11

122,11

123,11

124,11

125,11

126,11

127,11

128,11

129,11

130,11

131,11

132,11

133,11

134,11

135,11

136,11

137,11

138,11

139,11

140,11

141,11

142,11

143,11

144,11

145,11

146,11

147,11

148,11

149,11

150,11

151,11

152,11

153,11

154,11

155,11

156,11

157,11

158,11

159,11

160,11

161,11

162,11

163,11

164,11

165,11

166,11

167,11

168,11

169,11

170,11

171,11

172,11

173,11

174,11

175,11

176,11

177,11

178,11

179,11

180,11

181,11

182,11

183,11

184,11

185,11

186,11

187,11

188,11

189,11

190,11

191,11

192,11

ID,Session
1,12

2,12

3,12

4,12

5,12

6,12

7,12

8,12

9,12

10,12

11,12

12,12

13,12

14,12

15,12

16,12

17,12

18,12

19,12

20,12

21,12

22,12

23,12

24,12

25,12

26,12

27,12

28,12

29,12

30,12

31,12

32,12

33,12

34,12

35,12

36,12

37,12

38,12

39,12

40,12

41,12

42,12

43,12

44,12

45,12

46,12

47,12

48,12

49,12

50,12

51,12

52,12

53,12

54,12

55,12

56,12

57,12

58,12

59,12

60,12

61,12

62,12

63,12

64,12

65,12

66,12

67,12

68,12

69,12

70,12

71,12

72,12

73,12

74,12

75,12

76,12

77,12

78,12

79,12

